symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
ETHUSDT,34,09:15:05,2021.635,buy,15.1,300,0.7478,6.2,entropy_normalized,0.0052,-0.0002,0.0012,0.0082,0.0552,0.1155,0.1956,0.1843,0.1229,0.2688,0.2832
SOLUSDT,1,09:15:58,82.505,buy,297.7,300,0.4583,1.0,entropy_normalized,0.0061,0.0061,0.0424,0.0303,0.0545,0.0545,0.1515,0.1757,-0.1151,0.1636,0.2
ETHUSDT,35,09:16:04,2023.965,buy,29.9,300,0.6727,10.3,entropy_normalized,0.0032,0.0002,0.0022,0.0027,-0.0131,0.0719,0.1351,0.1332,-0.1233,0.1663,0.1885
BTCUSDT,52,09:16:08,74482.005,sell,30.0,300,0.5842,1.3,entropy_normalized,0.0027,0.0021,0.0027,-0.0128,0.0242,-0.0253,-0.081,-0.0759,0.1267,-0.0835,-0.104
BTCUSDT,53,09:16:58,74491.525,sell,10.2,300,0.7015,5.5,entropy_normalized,0.0,-0.0,-0.0,-0.0125,0.0036,-0.0346,-0.0919,-0.1067,0.0985,-0.0524,-0.1069
ETHUSDT,36,09:17:05,2025.595,buy,22.8,300,0.6343,10.3,entropy_normalized,0.0002,0.0002,-0.0121,-0.0126,0.0037,0.0546,0.1024,0.0639,-0.1286,0.0427,0.1098
ETHUSDT,37,09:17:59,2026.635,buy,66.8,300,0.7219,28.4,entropy_normalized,0.0368,0.0116,0.0032,0.017,0.0363,0.0595,-0.054,-0.0081,-0.2104,0.0348,0.0407
BTCUSDT,54,09:18:28,74558.665,sell,24.6,300,0.4999,5.1,entropy_normalized,0.0116,0.0036,0.0061,0.0143,-0.0018,0.0159,0.0876,0.0202,0.2035,0.0384,0.011
ETHUSDT,38,09:18:46,2027.985,buy,10.9,300,0.5574,12.0,entropy_normalized,0.0002,-0.0002,-0.0002,-0.0002,-0.0293,-0.0939,-0.1087,-0.1132,-0.2567,-0.0801,-0.0481
ETHUSDT,39,09:19:31,2026.525,buy,51.7,300,0.6727,16.1,entropy_normalized,0.017,0.0007,0.0067,-0.0175,-0.0516,-0.0881,0.016,-0.0447,-0.1009,0.0244,0.0096
ETHUSDT,40,09:19:59,2025.545,sell,41.9,300,0.6098,7.2,entropy_normalized,0.0264,0.0022,0.0032,0.0392,0.0397,-0.0546,-0.0699,0.0748,0.0467,0.0032,-0.0694
ETHUSDT,41,09:20:11,2024.565,buy,13.8,300,0.5482,4.5,entropy_normalized,0.022,-0.0002,0.0215,0.0101,0.0363,0.105,0.1089,-0.0274,0.0165,0.0511,0.1203
BTCUSDT,55,09:20:12,74492.005,buy,19.2,300,0.5099,5.8,entropy_normalized,0.0018,0.0,0.0018,0.0018,0.0268,0.0627,0.0864,-0.0507,-0.0107,0.0564,0.0451
ETHUSDT,42,09:20:59,2026.655,buy,74.5,300,0.6343,17.7,entropy_normalized,0.0017,-0.0002,0.0002,0.0002,0.0096,0.015,-0.0091,-0.281,-0.0762,-0.0575,0.0111
ETHUSDT,43,09:21:28,2026.685,buy,984.1,300,0.4795,0.0,entropy_normalized,0.0081,0.0081,0.0081,0.0081,0.0254,-0.0155,-0.0333,-0.2322,-0.1132,-0.0496,-0.0387
ETHUSDT,44,09:22:03,2026.885,sell,11.7,300,0.7015,1.4,entropy_normalized,-0.0002,-0.0002,0.0062,0.0057,0.0412,0.021,0.059,0.1922,0.1053,0.0471,0.1048
BTCUSDT,56,09:23:39,74528.015,sell,16.7,300,0.6801,10.4,entropy_normalized,0.0,-0.0,-0.0,-0.0,0.0131,0.0008,0.215,0.1537,0.0303,-0.0163,0.0597
ETHUSDT,45,09:24:59,2024.025,buy,554.3,300,0.5099,0.0,entropy_normalized,0.0121,0.0259,0.0042,-0.0007,-0.0837,-0.1514,-0.06,0.0284,0.1796,0.189,0.1742
BTCUSDT,57,09:24:59,74471.995,sell,1333.9,300,0.469,0.0,entropy_normalized,0.0,-0.0126,0.0215,0.0215,0.0468,0.14,0.0723,-0.007,-0.1074,-0.1367,-0.0933
ETHUSDT,46,09:25:13,2023.175,buy,23.9,300,0.6653,5.3,entropy_normalized,0.0002,0.0002,-0.0022,-0.0418,-0.1085,-0.0502,-0.0156,0.0858,0.1925,0.2167,0.1055
BTCUSDT,58,09:25:14,74445.115,sell,10.4,300,0.4583,15.2,entropy_normalized,0.0525,-0.0,0.0107,0.0107,0.0985,0.0551,0.0149,-0.0522,-0.1331,-0.1498,-0.0522
ETHUSDT,47,09:25:29,2021.775,sell,3207.9,300,0.6944,2.5,entropy_normalized,0.0532,0.0171,0.0512,0.0265,0.0403,-0.0101,-0.0542,-0.1758,-0.2659,-0.2802,-0.2119
ETHUSDT,48,09:25:37,2020.925,buy,42.8,300,0.5574,1.7,entropy_normalized,0.0161,0.0012,0.0195,0.0077,0.0339,0.0888,0.0715,0.2358,0.3239,0.3011,0.2808
BTCUSDT,59,09:25:37,74367.745,sell,37.5,300,0.469,1.6,entropy_normalized,0.0,-0.0,-0.0079,-0.0054,-0.0268,-0.0662,-0.0819,-0.19,-0.252,-0.245,-0.2266
BTCUSDT,60,09:26:09,74387.645,sell,34.6,300,0.5929,1.5,entropy_normalized,0.0,-0.0,-0.0221,-0.0211,-0.0394,-0.0593,-0.0079,-0.1258,-0.2105,-0.2309,-0.143
BTCUSDT,61,09:26:59,74441.755,sell,5951.5,300,0.6577,0.0,entropy_normalized,0.007,0.007,0.0104,0.0134,0.0104,0.0176,0.038,-0.0618,-0.1193,-0.1738,-0.049
BTCUSDT,62,09:28:13,74396.875,buy,21.0,300,0.6263,5.7,entropy_normalized,0.0,-0.0,0.0,0.0135,0.0223,0.0993,0.1171,0.1526,0.179,0.1992,0.1684
BTCUSDT,63,09:30:38,74509.035,buy,30.3,300,0.7084,4.7,entropy_normalized,0.0,0.0,-0.0144,-0.0144,-0.0373,-0.0241,0.0077,0.0619,0.0417,0.015,0.0687
ETHUSDT,49,09:31:17,2023.885,sell,13.8,300,0.5294,1.9,entropy_normalized,-0.0002,-0.0002,-0.0245,-0.025,-0.0368,-0.0516,-0.0689,-0.1505,-0.0981,-0.0996,-0.1929
ETHUSDT,50,09:32:42,2026.005,buy,18.7,300,0.6873,4.5,entropy_normalized,0.0002,0.0002,-0.0175,-0.0131,-0.0239,0.0047,0.0861,0.0664,0.0363,-0.0274,0.1409
ETHUSDT,51,09:33:02,2026.175,buy,1674.7,300,0.7478,0.0,entropy_normalized,-0.0002,-0.0022,-0.0146,-0.0323,-0.0442,-0.018,0.0733,0.0575,0.0284,-0.0358,0.1458
ETHUSDT,52,09:33:02,2026.145,sell,1365.1,300,0.7478,0.0,entropy_normalized,0.0002,0.0007,0.0131,0.0308,0.0427,0.0165,-0.0748,-0.059,-0.0299,0.0343,-0.1473
BTCUSDT,64,09:33:41,74521.765,sell,19.7,300,0.7351,2.8,entropy_normalized,0.0019,0.0019,0.0019,0.0151,0.0082,-0.0355,-0.0453,-0.0164,-0.0347,0.0513,-0.0898
BTCUSDT,65,09:34:36,74535.755,buy,51.0,300,0.7478,1.0,entropy_normalized,0.0,-0.0,0.0107,0.0217,0.0114,0.0358,0.023,0.0075,0.0488,-0.018,0.062
BTCUSDT,66,09:35:02,74548.245,sell,2753.9,300,0.6801,2.1,entropy_normalized,0.0054,0.0,0.0054,0.0054,0.0005,-0.019,0.0238,0.0229,-0.0342,0.0091,-0.0211
BTCUSDT,67,09:37:03,74523.505,sell,1471.9,300,0.6343,6.6,entropy_normalized,-0.0,-0.0046,-0.0046,-0.0176,-0.0288,-0.0288,-0.0283,-0.014,-0.0639,0.0607,-0.0208
ETHUSDT,53,09:37:18,2027.355,sell,35.6,300,0.4583,14.5,entropy_normalized,0.0136,-0.0002,-0.0002,0.0002,0.0002,0.053,0.0165,0.0367,0.0027,0.0506,0.0081
BTCUSDT,68,09:39:09,74559.335,sell,25.4,300,0.7219,6.3,entropy_normalized,0.0,0.0,-0.0,0.0,0.0211,0.037,0.0313,0.0037,0.0393,-0.0053,0.042
